title,author,rating,genres,pages,ratings_count
Ender’s Game,"Orson Scott Card, Orson Scott Card",4.31,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia, Audiobook, Book Club, War",324,1439304
Of Mice and Men,"John Steinbeck, John Steinbeck",3.89,"Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School, American, Historical, Banned Books",107,2720432
The Catcher in the Rye,"J.D. Salinger, J.D. Salinger",3.8,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels, High School, American, Banned Books",277,3761667
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa, Gabriel García Márquez",4.12,"Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels, Book Club, Spanish Literature, Literary Fiction, Unfinished",417,1055124
A Thousand Splendid Suns,"Khaled Hosseini, Khaled Hosseini",4.45,"Fiction, Historical Fiction, Book Club, Contemporary, Historical, Classics, Novels, War, Literary Fiction, Adult",372,1657872
Little Women,"Louisa May Alcott, Regina Barreca, Grzegorz Komerski, Louisa May Alcott",4.16,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Book Club, Audiobook, Childrens",449,2365060
The Outsiders,"S.E. Hinton, S.E. Hinton",4.14,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction, Historical Fiction, Contemporary, Childrens",208,1508180
The Princess Bride,"William Goldman, William Goldman",4.27,"Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics, Book Club, Comedy, Science Fiction Fantasy",429,929744
The Secret Garden,"Frances Hodgson Burnett, Frances Hodgson Burnett",4.16,"Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook, Fantasy, Historical, Literature",331,1248074
A Game of Thrones,"George R.R. Martin, George R.R. Martin",4.45,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult, Audiobook, Science Fiction Fantasy, Adventure, Dragons, Novels",835,2648662
Harry Potter and the Deathly Hallows,"J.K. Rowling, J.K. Rowling",4.62,"Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade, Classics, Science Fiction Fantasy, Young Adult Fantasy",759,3969784
The Odyssey,"Homer, Robert Fagles, Bernard Knox, Homer",3.82,"Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure, Greek Mythology, Read For School, Historical Fiction",541,1144351
The Kite Runner,"Khaled Hosseini, Khaled Hosseini",4.35,"Fiction, Historical Fiction, Classics, Contemporary, Book Club, Novels, Historical, School, Literature, Adult",371,3362336
The Giver,"Lois Lowry, Lois Lowry",4.12,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School, Middle Grade, Childrens, Book Club",208,2699852
The Handmaid’s Tale,"Margaret Atwood, Margaret Atwood",4.15,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Book Club, Fantasy, Audiobook, Adult, Literature",311,2270349
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, J.K. Rowling",4.58,"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade, Adventure, Classics, Science Fiction Fantasy",435,4611867
Where the Wild Things Are,"Maurice Sendak, Maurice Sendak",4.25,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult, Animals, Kids, Monsters",38,1038037
Green Eggs and Ham,"Dr. Seuss, Dr. Seuss",4.31,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor, Kids, Food, Young Adult",64,822505
The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell, E.W. Kemble, Mark Twain",3.83,"Classics, Fiction, Historical Fiction, Literature, Adventure, Young Adult, School, Novels, American, High School",327,1310127
Life of Pi,"Yann Martel, Yann Martel",3.94,"Fiction, Fantasy, Classics, Book Club, Adventure, Magical Realism, Novels, Literature, Philosophy, Literary Fiction",460,1710903
Lolita,"Vladimir Nabokov, Craig Raine, Vladimir Nabokov",3.87,"Classics, Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction, Book Club, Audiobook",368,907302
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Charles Dickens",3.87,"Fiction, Historical Fiction, Literature, Historical, School, Novels, Classic Literature, 19th Century, Audiobook, British Literature",489,990203
Slaughterhouse-Five,"Kurt Vonnegut Jr., Kurt Vonnegut Jr.",4.1,"Classics, Fiction, Science Fiction, Historical Fiction, War, Literature, Novels, Time Travel, Fantasy, American",275,1437421
Water for Elephants,"Sara Gruen, Sara Gruen",4.11,"Fiction, Historical Fiction, Romance, Book Club, Historical, Adult, Adult Fiction, Contemporary, Audiobook, Novels",368,1672211
The Bell Jar,"Sylvia Plath, Sylvia Plath",4.06,"Classics, Fiction, Feminism, Mental Health, Psychology, Literary Fiction, Literature, Book Club, Novels, Poetry",294,1121171
Matilda,"Roald Dahl, Quentin Blake, Roald Dahl",4.33,"Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Humor, Audiobook, Magic, School",240,1052542
The Girl With the Dragon Tattoo,"Stieg Larsson, Reg Keeland, Stieg Larsson",4.17,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Book Club, Suspense, Contemporary, Audiobook, Adult",480,3350666
The Stand,"Stephen King, Bernie Wrightson, Stephen King",4.35,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia, Audiobook, Classics, Apocalyptic",1152,806250
Catch-22,"Joseph Heller, Joseph Heller",3.99,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels, Book Club, Historical, American",453,866792
The Adventures of Sherlock Holmes,"Arthur Conan Doyle, Arthur Conan Doyle",4.3,"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Audiobook, Mystery Thriller, Literature, Historical Fiction",389,318007
The Pillars of the Earth,"Ken Follett, Ken Follett",4.35,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval, Book Club, Novels, British Literature",976,802210
Watership Down,"Richard Adams, Richard Adams",4.09,"Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens, Audiobook, Literature, Novels",478,496316
Great Expectations,"Charles Dickens, Kate Flint, Margaret Cardwell, Charles Dickens",3.8,"Classics, Fiction, Literature, Historical Fiction, School, Novels, Classic Literature, 19th Century, Victorian, British Literature",544,850586
Outlander,"Diana Gabaldon, Diana Gabaldon",4.26,"Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance, Audiobook, Adult, Scotland",850,1123066
One Flew Over the Cuckoo’s Nest,"Ken Kesey, Ken Kesey",4.2,"Classics, Fiction, Psychology, Literature, Novels, Mental Health, School, Book Club, Banned Books, Literary Fiction",325,762202
My Sister’s Keeper,"Jodi Picoult, Jodi Picoult",4.11,"Fiction, Book Club, Chick Lit, Young Adult, Drama, Adult, Adult Fiction, Realistic Fiction, Contemporary, Family",423,1258298
The Brothers Karamazov,"Fyodor Dostoevsky, Richard Pevear, Larissa Volokhonsky, Fyodor Dostoevsky",4.38,"Fiction, Russia, Classics, Russian Literature, Literature, Philosophy, Novels, 19th Century, Classic Literature, Religion",796,363072
