title,author,rating,genres,pages,ratings_count
Goodnight Moon,"Margaret Wise Brown, Clement Hurd, Margaret Wise Brown",4.32,"Childrens, Picture Books, Fiction, Classics, Poetry, Kids, Animals, Juvenile, Young Adult, Storytime",32,387487
A Midsummer Night’s Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, William Shakespeare",3.94,"Plays, Fiction, Fantasy, School, Romance, Poetry, Literature, Read For School, Comedy, Theatre",298,563581
Murder on the Orient Express,"Agatha Christie, Agatha Christie",4.2,"Mystery, Classics, Fiction, Crime, Mystery Thriller, Audiobook, Thriller, Book Club, Detective, Murder Mystery",274,690196
Frostbite,"Richelle Mead, Richelle Mead",4.25,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance, Fiction, Supernatural, Magic",327,367092
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, Susan Massotty, Anne Frank",4.2,"Nonfiction, Biography, Memoir, Classics, Historical, Holocaust, Autobiography, War, School, World War II",283,4023328
Tess of the D’Urbervilles,"Thomas Hardy, Margaret R. Higonnet, Tim Dolin, Thomas Hardy",3.84,"Classics, Fiction, Literature, Historical Fiction, 19th Century, Victorian, Novels, Classic Literature, British Literature, Historical",518,295801
Heart of Darkness,"Joseph Conrad, Joseph Conrad",3.43,"Fiction, Classics, Literature, Historical Fiction, School, Novels, Audiobook, Adventure, Read For School, High School",188,540545
The Prophet,"Kahlil Gibran, Kahlil Gibran",4.23,"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature, Self Help, Inspirational, Novels",127,317903
The Call of the Wild,"Jack London, Avi, Jack London",3.91,"Classics, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature, Audiobook, School, Childrens",172,456504
The Joy Luck Club,"Amy Tan, Amy Tan",3.97,"Fiction, Historical Fiction, Classics, China, Contemporary, Book Club, Historical, School, Adult, Adult Fiction",288,699371
The Good Earth,"Pearl S. Buck, Stephanie Reents, Cynthia Brantley Johnson, Pearl S. Buck",4.01,"Fiction, Historical Fiction, China, Classics, Book Club, Literature, Historical, Asia, Novels, Audiobook",418,256482
Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke, Jane Carruth",4.03,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature, Novels, Middle Grade, Classic Literature",96,395073
The Phantom Tollbooth,"Norton Juster, Jules Feiffer, Maurice Sendak, Norton Juster",4.2,"Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure, Humor, School, Juvenile",248,299502
"Oh, the Places You’ll Go!","Dr. Seuss, Dr. Seuss",4.37,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult, Inspirational, Kids, Humor",44,429863
The Neverending Story,"Michael Ende, Ralph Manheim, Michael Ende",4.18,"Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, German Literature, Middle Grade, Audiobook, Books About Books",396,213887
Madame Bovary,"Gustave Flaubert, Mark Overstall, Malcolm Bowie, Gustave Flaubert",3.71,"Classics, Fiction, France, Literature, French Literature, Romance, 19th Century, Novels, Historical Fiction, Classic Literature",329,358430
Treasure Island,"Robert Louis Stevenson, N.C. Wyeth, Robert Louis Stevenson",3.85,"Classics, Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates, Fantasy, Literature, Audiobook",352,522684
Oliver Twist,"Charles Dickens, Philip Horne, Charles Dickens",3.88,"Fiction, Classics, Historical Fiction, Literature, Novels, 19th Century, Classic Literature, Victorian, Historical, British Literature",608,416563
Jonathan Livingston Seagull,"Richard Bach, Russell Munson, Richard Bach",3.86,"Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help, Literature, Novels, Animals",112,265062
A Storm of Swords,"George R.R. Martin, George R.R. Martin",4.55,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Adult, Dragons, Adventure, Epic",1177,823850
The Boy in the Striped Pajamas,"John Boyne, John Boyne",4.16,"Historical Fiction, Fiction, Young Adult, Historical, Classics, Holocaust, War, World War II, School, Book Club",224,915272
Ulysses,"James Joyce, Morris L. Ernst, John M. Woolsey, James Joyce",3.77,"Classics, Fiction, Literature, Ireland, Novels, Irish Literature, 20th Century, Banned Books, Literary Fiction, Unfinished",783,137259
Beloved,"Toni Morrison, Toni Morrison",3.97,"Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School, Literary Fiction, Book Club, Banned Books",325,470337
A Farewell to Arms,"Ernest Hemingway, Ernest Hemingway",3.82,"Fiction, Historical Fiction, Classics, War, Literature, Novels, Romance, American, Historical, Classic Literature",293,340782
David Copperfield,"Charles Dickens, Edward Killoran Brown, Jeremy Tambling, Charles Dickens",4.04,"Fiction, Literature, Historical Fiction, Audiobook, 19th Century, Novels, Victorian, British Literature, Classic Literature, Historical",882,251166
,,,,,
A Little Princess,"Frances Hodgson Burnett, U.C. Knoepflmacher, Frances Hodgson Burnett",4.23,"Fiction, Childrens, Classics, Young Adult, Historical Fiction, Middle Grade, Historical, Audiobook, Literature, Classic Literature",242,318790
The World According to Garp,"John Irving, John Irving",4.11,"Fiction, Classics, Literature, Contemporary, Novels, Literary Fiction, Humor, American, Book Club, Adult Fiction",610,234844
His Dark Materials,"Philip Pullman, Philip Pullman",4.29,"Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics, Adventure, Steampunk, Middle Grade",1088,166010
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith, Gregory Maguire",3.52,"Fantasy, Fiction, Book Club, Adult, Retellings, Audiobook, Witches, Classics, Magic, Science Fiction Fantasy",406,660955
The Iliad / The Odyssey,"Homer, Robert Fagles, Bernard Knox, Homer",4.07,"Classics, Fiction, Poetry, Mythology, Fantasy, Literature, Historical Fiction, School, Greek Mythology, Historical",1556,81413
Schindler’s List,"Thomas Keneally, Thomas Keneally",4.34,"History, Nonfiction, Holocaust, War, Historical, World War II, Biography, Classics, Media Tie In, Jewish",429,163671
The Velveteen Rabbit,"Margery Williams Bianco, William Nicholson, Margery Williams Bianco",4.31,"Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult, Short Stories, Juvenile, Audiobook",40,267514
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith, J.R.R. Tolkien",4.03,"Fantasy, Fiction, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Classics, Mythology, Audiobook, Literature, Adventure",386,320828
The Trial,"Franz Kafka, Max Brod, Willa Muir, Franz Kafka",3.95,"Fiction, Philosophy, Literature, Novels, Dystopia, German Literature, 20th Century, Literary Fiction, Czech Literature, Audiobook",255,369418
Howl’s Moving Castle,"Diana Wynne Jones, Diana Wynne Jones",4.29,"Fantasy, Young Adult, Fiction, Middle Grade, Magic, Classics, Audiobook, Childrens, Adventure, Book Club",329,417228
Mystic River,"Dennis Lehane, Dennis Lehane",4.17,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Book Club, Drama, Novels, Contemporary",416,155194
Extremely Loud & Incredibly Close,"Jonathan Safran Foer, Jonathan Safran Foer",3.97,"Fiction, Book Club, Historical Fiction, Contemporary, Novels, Literary Fiction, Adult, Adult Fiction, Literature, Young Adult",326,430135
Red Dragon,"Thomas Harris, Thomas Harris",4.07,"Horror, Fiction, Thriller, Crime, Mystery, Mystery Thriller, Suspense, Novels, Classics, Audiobook",454,357332
Shutter Island,"Dennis Lehane, Dennis Lehane",4.13,"Mystery, Fiction, Thriller, Horror, Mystery Thriller, Crime, Suspense, Book Club, Audiobook, Novels",369,210881
The Other Boleyn Girl,"Philippa Gregory, Philippa Gregory",4.09,"Historical Fiction, Fiction, Historical, Romance, Book Club, Adult, British Literature, Historical Romance, Tudor Period, Adult Fiction",661,507178
The Silence of the Lambs,"Thomas Harris, Thomas Harris",4.25,"Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller, Suspense, Novels, Audiobook",421,574245
Man’s Search for Meaning,"Viktor E. Frankl, Harold S. Kushner, William J. Winslade, Viktor E. Frankl",4.37,"Nonfiction, Psychology, Philosophy, History, Self Help, Memoir, Biography, Classics, Audiobook, Spirituality",165,814789
The Sun Also Rises,"Ernest Hemingway, Ernest Hemingway",3.79,"Classics, Fiction, Literature, Novels, Historical Fiction, American, Book Club, Spain, School, Literary Fiction",189,474658
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy, John Kennedy Toole",3.89,"Fiction, Humor, Book Club, Literature, Comedy, Novels, Classics, American, Audiobook, Literary Fiction",394,289303
The Green Mile,"Stephen King, Stephen King",4.49,"Horror, Fiction, Fantasy, Thriller, Mystery, Classics, Crime, Audiobook, Historical Fiction, Paranormal",592,346601
The Secret Magdalene,"Ki Longfellow, Ki Longfellow",4.15,"Historical Fiction, Fiction, Religion, Historical, Spirituality, Literature, Novels, Biblical Fiction, Contemporary, Biblical",448,4694
The Crucible,"Arthur Miller, Christopher W.E. Bigsby, Arthur Miller",3.61,"Classics, Plays, Fiction, Historical Fiction, School, Drama, Read For School, Historical, High School, Literature",143,447641
Cat’s Cradle,"Kurt Vonnegut Jr., Kurt Vonnegut Jr.",4.15,"Fiction, Classics, Science Fiction, Humor, Literature, Novels, Dystopia, American, Book Club, Fantasy",306,424546
The Wind in the Willows,"Kenneth Grahame, Gillian Avery, Kenneth Grahame",4.02,"Classics, Fiction, Childrens, Fantasy, Animals, Young Adult, Middle Grade, Audiobook, Adventure, Literature",197,232775
The Lord of the Rings,"J.R.R. Tolkien, J.R.R. Tolkien",4.54,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy, Literature, Novels, Young Adult",1216,710610
A Light in the Attic,"Shel Silverstein, Shel Silverstein",4.36,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books, Banned Books, Middle Grade, Juvenile",176,467830
Misery,"Stephen King, Stephen King",4.23,"Horror, Fiction, Thriller, Mystery, Suspense, Audiobook, Mystery Thriller, Horror Thriller, Adult, Classics",370,804048
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill, Corrie ten Boom",4.47,"Nonfiction, Biography, History, Christian, Memoir, Classics, Holocaust, World War II, Historical, Book Club",242,344976
The Phantom of the Opera,"Gaston Leroux, Gaston Leroux",3.96,"Fiction, Horror, Romance, Gothic, Classics, Mystery, Historical Fiction, France, Fantasy, Literature",360,264517
A Clash of Kings,"George R.R. Martin, George R.R. Martin",4.42,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Adult, Dragons, Adventure, Epic",1009,991450
The God of Small Things,"Arundhati Roy, Arundhati Roy",3.96,"Fiction, India, Historical Fiction, Classics, Literary Fiction, Contemporary, Book Club, Indian Literature, Novels, Literature",321,314345
Ella Enchanted,"Gail Carson Levine, Gail Carson Levine",4.01,"Fantasy, Young Adult, Fiction, Middle Grade, Romance, Childrens, Fairy Tales, Retellings, Magic, Classics",240,420146
The Bone Collector,"Jeffery Deaver, Jeffery Deaver",4.2,"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Suspense, Detective, Horror, Novels, Contemporary",528,187416
The Fellowship of the Ring,"J.R.R. Tolkien, Francis Ledoux, Maria Skibniewska, J.R.R. Tolkien, Ken Liu",4.4,"Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Novels, Young Adult",398,3011026
The House of the Spirits,"Isabel Allende, Magda Bogin, Isabel Allende",4.29,"Fiction, Magical Realism, Historical Fiction, Fantasy, Book Club, Spanish Literature, Historical, Novels, Literature, Literary Fiction",448,298186
Girl with a Pearl Earring,"Tracy Chevalier, Tracy Chevalier",3.93,"Historical Fiction, Fiction, Classics, Historical, Art, Romance, Book Club, Adult, Adult Fiction, Novels",233,763242
Uglies,"Scott Westerfeld, Scott Westerfeld",3.85,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen, Adventure, Audiobook, Childrens",425,697885
The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin, Haruki Murakami",4.14,"Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Literary Fiction, Mystery, Book Club, Contemporary",607,303271
Marley and Me: Life and Love With the World’s Worst Dog,"John Grogan, John Grogan",4.14,"Nonfiction, Memoir, Animals, Biography, Dogs, Humor, Book Club, Biography Memoir, Adult, Contemporary",291,474697
Norwegian Wood,"Haruki Murakami, Jay Rubin, Haruki Murakami",4.0,"Fiction, Romance, Japan, Japanese Literature, Contemporary, Classics, Novels, Literary Fiction, Literature, Magical Realism",296,682812
She’s Come Undone,"Wally Lamb, Wally Lamb",3.91,"Fiction, Contemporary, Book Club, Chick Lit, Coming Of Age, Adult Fiction, Novels, Adult, Literary Fiction, Drama",465,355082
Marked,"P.C. Cast, Kristin Cast, P.C. Cast",3.82,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Fiction, Supernatural, Urban Fantasy, Paranormal Romance, Magic",306,515276
Kafka on the Shore,"Haruki Murakami, Philip Gabriel, Haruki Murakami",4.12,"Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Classics, Literary Fiction, Book Club, Audiobook",467,519461
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,"Hunter S. Thompson, Ralph Steadman, Hunter S. Thompson",4.07,"Fiction, Classics, Humor, Journalism, Novels, Literature, American, Contemporary, Travel, Comedy",204,367327
The Sound and the Fury,"William Faulkner, William Faulkner",3.86,"Fiction, Literature, Classics, Novels, American, Southern Gothic, 20th Century, Literary Fiction, School, Southern",366,190547
The Complete Calvin and Hobbes,"Bill Watterson, Bill Watterson",4.81,"Humor, Graphic Novels, Fiction, Comics, Classics, Comedy, Graphic Novels Comics, Childrens, Comic Strips, Comic Book",1456,41512
For Whom the Bell Tolls,"Ernest Hemingway, Ernest Hemingway",3.98,"Classics, Fiction, Historical Fiction, Literature, War, Novels, American, Spain, Classic Literature, Historical",471,308550
The Complete Sherlock Holmes,"Arthur Conan Doyle, Arthur Conan Doyle",4.5,"Classics, Mystery, Fiction, Crime, Short Stories, Audiobook, Detective, Literature, Mystery Thriller, Historical Fiction",1796,213410
The Idiot,"Fyodor Dostoevsky, Anna Brailovsky, Joseph Frank, Fyodor Dostoevsky",4.21,"Fiction, Russia, Russian Literature, Literature, Classics, Philosophy, Novels, 19th Century, Classic Literature, Historical Fiction",667,203828
Inkheart,"Cornelia Funke, Anthea Bell, Cornelia Funke",3.92,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Magic, Books About Books, Audiobook, Young Adult Fantasy",563,436749
Roots: The Saga of an American Family,"Alex Haley, Alex Haley",4.44,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race, Audiobook, Literature, Novels",729,162765
Stranger in a Strange Land,"Robert A. Heinlein, James Warhola, Robert A. Heinlein",3.92,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Audiobook, Novels, Philosophy, Speculative Fiction, Religion",525,321748
Othello,"William Shakespeare, Barbara A. Mowat, Paul Werstine, William Shakespeare",3.89,"Classics, Plays, Fiction, School, Theatre, Literature, Read For School, Poetry, Tragedy, High School",319,424270
Into the Wild,"Jon Krakauer, Jon Krakauer",4.02,"Nonfiction, Biography, Adventure, Travel, Classics, Memoir, Nature, School, Biography Memoir, Audiobook",207,1154337
Neverwhere,"Neil Gaiman, Neil Gaiman",4.17,"Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction, Book Club, Adventure, Adult",370,552589
The Vampire Lestat,"Anne Rice, Anne Rice",4.11,"Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Gothic, Urban Fantasy, Historical Fiction, Adult",481,211063
The Things They Carried,"Tim O'Brien, Tim O'Brien",4.14,"Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical, Book Club, Military Fiction, Read For School",246,334071
King Lear,"William Shakespeare, William James Rolfe, William Shakespeare",3.91,"Plays, Fiction, Classics, School, Theatre, Literature, Poetry, Read For School, Tragedy, British Literature",339,230580
Never Let Me Go,"Kazuo Ishiguro, Kazuo Ishiguro",3.85,"Fiction, Science Fiction, Dystopia, Book Club, Contemporary, Literary Fiction, Romance, Classics, Novels, Audiobook",288,793680
White Oleander,"Janet Fitch, Janet Fitch",4.0,"Fiction, Coming Of Age, Contemporary, Book Club, Literary Fiction, Drama, Adult Fiction, Chick Lit, Adult, Novels",446,361826
Foundation,"Isaac Asimov, Isaac Asimov",4.17,"Science Fiction, Fiction, Science Fiction Fantasy, Fantasy, Classics, Audiobook, Space Opera, Novels, Space, Speculative Fiction",244,574962
Blood River: A Journey to Africa’s Broken Heart,"Tim Butcher, Tim Butcher",3.98,"Travel, Nonfiction, Africa, History, Adventure, Memoir, Biography, Travelogue, Politics, Biography Memoir",363,11811
Uncle Tom’s Cabin,"Harriet Beecher Stowe, Harriet Beecher Stowe",3.91,"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American, Classic Literature, School, 19th Century",438,237795
Mistborn: The Final Empire,"Brandon Sanderson, Brandon Sanderson",4.49,"Fantasy, Fiction, High Fantasy, Audiobook, Epic Fantasy, Magic, Adult, Science Fiction Fantasy, Young Adult, Adventure",541,864777
East of Eden,"John Steinbeck, John Steinbeck",4.43,"Fiction, Classics, Historical Fiction, Literature, Book Club, Novels, Literary Fiction, American, Historical, Classic Literature",601,589425
The Once and Future King,"T.H. White, T.H. White",4.07,"Fantasy, Classics, Fiction, Historical Fiction, Arthurian, Mythology, Young Adult, Historical, Science Fiction Fantasy, Literature",639,115840
James and the Giant Peach,"Roald Dahl, Quentin Blake, Roald Dahl",4.03,"Childrens, Fantasy, Fiction, Classics, Young Adult, Middle Grade, Adventure, Juvenile, Audiobook, Humor",176,501060
I Know This Much Is True,"Wally Lamb, Wally Lamb",4.21,"Fiction, Contemporary, Book Club, Literary Fiction, Novels, Mental Health, Psychology, Adult Fiction, Drama, Mental Illness",897,319250
Candide,"Voltaire, Rockwell Kent, Walter Jerrold, Voltaire",3.76,"Classics, Fiction, Philosophy, France, Literature, French Literature, Humor, School, 18th Century, Novels",129,291667
All Creatures Great and Small,"James Herriot, James Herriot",4.35,"Nonfiction, Memoir, Animals, Classics, Biography, Audiobook, Biography Memoir, Autobiography, Book Club, British Literature",437,153916
The Complete Works,"William Shakespeare, William Shakespeare",4.48,"Classics, Poetry, Fiction, Plays, Literature, Drama, Classic Literature, Historical Fiction, Romance, Collections",1229,57433
Paradise Lost,"John Milton, John Milton",3.85,"Classics, Poetry, Fiction, Literature, Religion, Fantasy, Philosophy, School, Classic Literature, Mythology",453,176116
The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti, H.G. Wells",3.89,"Science Fiction, Fiction, Classics, Time Travel, Fantasy, Dystopia, Audiobook, Literature, Adventure, Science Fiction Fantasy",118,548201
Invisible Man,"Ralph Ellison, Ralph Ellison",3.92,"Fiction, Classics, Literature, Historical Fiction, Race, African American, Novels, School, American, Literary Fiction",581,196966
Heidi,"Johanna Spyri, Angelo Rinaldi, Beverly Cleary, Johanna Spyri",4.04,"Classics, Fiction, Childrens, Historical Fiction, Young Adult, Middle Grade, Historical, Audiobook, Juvenile, Childrens Classics",352,207368
The Thirteenth Tale,"Diane Setterfield, Diane Setterfield",3.98,"Fiction, Mystery, Historical Fiction, Book Club, Gothic, Books About Books, Fantasy, Audiobook, Adult, Historical",406,321762
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal","Christopher Moore, Christopher Moore",4.23,"Fiction, Humor, Historical Fiction, Fantasy, Religion, Comedy, Book Club, Audiobook, Historical, Adult",444,178803
The Wise Man's Fear,"Patrick Rothfuss, Patrick Rothfuss",4.55,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy, Adventure, Adult, Epic",994,597812
Leaves of Grass,"Walt Whitman, Walt Whitman",4.12,"Poetry, Classics, Fiction, Literature, American, 19th Century, Philosophy, Classic Literature, School, The United States Of America",624,113668
"Walden or, Life in the Woods","Henry David Thoreau, Bill McKibben, Henry David Thoreau",3.78,"Classics, Philosophy, Nonfiction, Nature, Memoir, Literature, Biography, Essays, American, Environment",352,199121
"Are You There God? It’s Me, Margaret","Judy Blume, Judy Blume",3.94,"Young Adult, Fiction, Childrens, Classics, Middle Grade, Coming Of Age, Realistic Fiction, Banned Books, Audiobook, Contemporary",149,250392
Different Seasons,"Stephen King, Stephen King",4.36,"Horror, Fiction, Short Stories, Thriller, Mystery, Fantasy, Drama, Classics, Suspense, Audiobook",560,215247
Hamlet,"William Shakespeare, Harold Bloom, Rex Gibson, William Shakespeare",4.02,"Plays, Fiction, School, Literature, Read For School, Poetry, High School, Tragedy, Historical Fiction, Classic Literature",289,1011042
The Cider House Rules,"John Irving, John Irving",4.17,"Fiction, Classics, Historical Fiction, Literature, Literary Fiction, Contemporary, Novels, Book Club, Historical, American",1064,191518
The Complete Maus,"Art Spiegelman, Art Spiegelman",4.58,"Graphic Novels, Comics, Nonfiction, History, Biography, Memoir, Historical, War, Classics, Holocaust",296,241952
Mrs. Dalloway,"Virginia Woolf, Maureen Howard, Virginia Woolf",3.78,"Classics, Fiction, Literature, Novels, Feminism, Literary Fiction, British Literature, 20th Century, Book Club, School",194,334672
Fried Green Tomatoes at the Whistle Stop Cafe,"Fannie Flagg, Fannie Flagg",4.28,"Fiction, Historical Fiction, Classics, LGBT, Queer, Book Club, Historical, Chick Lit, Southern, Humor",416,318953
Sophie’s World,"Jostein Gaarder, Paulette Møller, Jostein Gaarder",3.97,"Fiction, Classics, Young Adult, Fantasy, Novels, Literature, Contemporary, Unfinished, Philosophy, Mystery",403,273089
The Awakening,"Kate Chopin, Kate Chopin",3.68,"Classics, Fiction, Feminism, School, Literature, Historical Fiction, Read For School, High School, Book Club, American",195,220609
The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry, Mark Hallaq, Arthur Conan Doyle",4.13,"Mystery, Fiction, Crime, Classics, Mystery Thriller, Thriller, Audiobook, Literature, British Literature, Novels",256,371828
The Graveyard Book,"Neil Gaiman, Dave McKean, Neil Gaiman",4.16,"Fantasy, Young Adult, Fiction, Horror, Middle Grade, Paranormal, Audiobook, Childrens, Ghosts, Supernatural",312,558564
The Monster at the End of this Book,"Jon Stone, Michael Smollin, Jon Stone",4.46,"Picture Books, Childrens, Fiction, Humor, Classics, Monsters, Storytime, Kids, Fantasy, Juvenile",32,126259
Middlemarch,"George Eliot, Michel Faber, George Eliot",4.03,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Victorian, Novels, Audiobook, Romance, British Literature",912,173250
Stardust,"Neil Gaiman, Neil Gaiman",4.1,"Fantasy, Fiction, Young Adult, Adventure, Audiobook, Magic, Science Fiction Fantasy, Fairy Tales, Adult, Book Club",248,473940
Black Beauty,"Anna Sewell, Gail Carson Levine, Anna Sewell",4.0,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction, Middle Grade, Adventure, Audiobook",245,291924
Sophie’s Choice,"William Styron, William Styron",4.17,"Fiction, Historical Fiction, Holocaust, War, Classics, Historical, World War II, Banned Books, Literature, Novels",562,93219
The Prince of Tides,"Pat Conroy, Pat Conroy",4.26,"Fiction, Classics, Romance, Southern, Contemporary, Literary Fiction, Literature, Book Club, Drama, Audiobook",679,213104
Things Fall Apart,"Chinua Achebe, Chinua Achebe",3.74,"Fiction, Classics, Historical Fiction, Africa, School, Literature, Nigeria, Historical, Novels, Read For School",215,398344
Dead Until Dark,"Charlaine Harris, Charlaine Harris",3.97,"Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction, Mystery, Paranormal Romance, Supernatural, Horror",292,554062
A Time to Kill,"John Grisham, John Grisham",4.12,"Fiction, Thriller, Mystery, Crime, Suspense, Legal Thriller, Mystery Thriller, Novels, Adult Fiction, Law",738,817582
Number the Stars,"Lois Lowry, Lois Lowry",4.19,"Historical Fiction, Young Adult, Fiction, Classics, Middle Grade, Historical, Childrens, Holocaust, School, World War II",137,602819
The Magician’s Nephew,"C.S. Lewis, C.S. Lewis",4.05,"Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Christian, Adventure, Audiobook, Christian Fiction",221,581561
Bridget Jones’s Diary,"Helen Fielding, Helen Fielding",3.81,"Fiction, Chick Lit, Romance, Contemporary, Humor, Comedy, Adult, Adult Fiction, British Literature, Contemporary Romance",288,1008618
V for Vendetta,"Alan Moore, David Lloyd, Steve Whitaker, Alan Moore",4.26,"Graphic Novels, Comics, Fiction, Dystopia, Science Fiction, Graphic Novels Comics, Classics, Comic Book, Politics, Fantasy",296,318653
War and Peace,"Leo Tolstoy, Aylmer Maude, Louise Maude, Leo Tolstoy",4.17,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War, Novels, Historical, 19th Century",1392,353412
Beowulf,"Unknown, Seamus Heaney, Unknown",3.5,"Poetry, Fiction, Fantasy, Classics, Mythology, School, Literature, Read For School, Historical Fiction, High School",259,335195
American Psycho,"Bret Easton Ellis, Bret Easton Ellis",3.81,"Fiction, Horror, Classics, Thriller, Crime, Contemporary, Novels, Literature, Mystery, American",399,344164
Franny and Zooey,"J.D. Salinger, J.D. Salinger",3.96,"Fiction, Short Stories, Literature, Classics, American, Novels, Literary Fiction, 20th Century, Book Club, The United States Of America",201,233027
White Fang,"Jack London, K.A. Applegate, Jack London",4.03,"Classics, Fiction, Adventure, Animals, Young Adult, Historical Fiction, Literature, Childrens, Audiobook, Novels",252,199924
Love You Forever,"Robert Munsch, Sheila McGraw, Robert Munsch",4.38,"Picture Books, Childrens, Fiction, Classics, Family, Love, Kids, Realistic Fiction, Canada, Juvenile",32,244129
The Witches,"Roald Dahl, Quentin Blake, Roald Dahl",4.18,"Fantasy, Childrens, Fiction, Classics, Middle Grade, Young Adult, Witches, Humor, Magic, Horror",208,416859
Harry Potter Series Box Set,"J.K. Rowling, J.K. Rowling",4.73,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Classics, Middle Grade, Science Fiction Fantasy, Audiobook",4100,298099
A Short History of Nearly Everything,"Bill Bryson, Bill Bryson",4.22,"Nonfiction, Science, History, Audiobook, Humor, Physics, Popular Science, Historical, Philosophy, Unfinished",544,408971
The Gunslinger,"Stephen King, Stephen King",3.91,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Adventure, Science Fiction Fantasy, Thriller, Post Apocalyptic, Dystopia",231,644600
The Complete Novels,"Jane Austen, Jane Austen",4.57,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Classic Literature, Novels, Regency, British Literature",1344,33751
The Power of One,"Bryce Courtenay, Bryce Courtenay",4.35,"Fiction, Historical Fiction, Africa, Book Club, Classics, South Africa, Coming Of Age, Historical, Young Adult, Novels",544,92498
Gulliver’s Travels,"Jonathan Swift, Robert DeMaria Jr., Jonathan Swift",3.59,"Classics, Fiction, Fantasy, Adventure, Literature, Novels, 18th Century, Classic Literature, School, Audiobook",306,291595
The Eye of the World,"Robert Jordan, Robert Jordan",4.19,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure, Magic, Adult, Epic",800,567598
Tuck Everlasting,"Natalie Babbitt, Natalie Babbitt",3.91,"Fantasy, Classics, Young Adult, Fiction, Childrens, Middle Grade, School, Historical Fiction, Romance, Read For School",148,287318
"A Child Called ""It""","Dave Pelzer, Dave Pelzer",4.14,"Nonfiction, Memoir, Biography, Psychology, Autobiography, Abuse, Biography Memoir, Adult, True Crime, True Story",184,452613
